Acceleration_X,Acceleration_Y,Acceleration_Z
-0.270041602,-0.679068701,-0.567877905
-0.292075293,-0.662253516,-0.539023535
-0.303046362,-0.646262305,-0.518485205
-0.303824561,-0.642096655,-0.501776831
-0.298194067,-0.633887427,-0.516440527
-0.289435522,-0.62401499,-0.529364722
-0.279868262,-0.614554541,-0.536276953
-0.270789282,-0.628790991,-0.556510107
-0.261603491,-0.621085303,-0.558219092
-0.265769141,-0.585883276,-0.53304209
-0.272986548,-0.572043555,-0.516684668
-0.277228491,-0.567572729,-0.510886328
-0.278891699,-0.583350317,-0.509558813
-0.276999609,-0.602988379,-0.511252539
-0.266104834,-0.594519751,-0.494925635
-0.263922827,-0.582968848,-0.474341528
-0.277503149,-0.591651099,-0.45542063
-0.271781104,-0.594443457,-0.432547705
-0.249610083,-0.602698462,-0.453467505
-0.239768164,-0.616904395,-0.48779978
-0.275153296,-0.609244482,-0.533469336
-0.345069067,-0.597983496,-0.58243479
-0.395148413,-0.598609106,-0.623877661
-0.427741187,-0.596778052,-0.647635596
-0.455847876,-0.621939795,-0.673026221
-0.480673926,-0.646231787,-0.695471899
-0.529395239,-0.64354624,-0.731986182
-0.626593726,-0.682135718,-0.767966406
-0.694541113,-0.722129004,-0.786109106
-0.778647559,-0.741767065,-0.789923804
-0.881934302,-0.734915869,-0.834464209
-1.002463477,-0.719473975,-0.899390356
-1.116309302,-0.686499731,-0.956961768
-1.143851416,-0.645301001,-1.002188818
-1.267203467,-0.63889231,-1.01564707
-1.407889502,-0.584967749,-1.011328833
-1.528998511,-0.553000586,-0.990668433
-1.639929907,-0.577597754,-0.94950022
-1.730979102,-0.571051733,-0.875373022
-1.774314063,-0.526496069,-0.830359595
-1.787421362,-0.420325415,-0.793845313
-1.80635752,-0.328787939,-0.766928809
-1.826743262,-0.241797583,-0.731391089
-1.86759104,-0.175543921,-0.699378149
-1.89997019,-0.125754492,-0.663031714
-1.917166846,-0.064246313,-0.607306616
-1.864615576,0.036568506,-0.555243628
-1.778357642,0.104622705,-0.492652075
-1.711753027,0.15723501,-0.447150366
-1.698218481,0.238243921,-0.412421362
-1.680152075,0.276146753,-0.35309519
-1.649710791,0.293434961,-0.32234873
-1.599356787,0.328621729,-0.266898291
-1.511603491,0.389641626,-0.179114478
-1.420035498,0.385872705,-0.167044775
-1.34717478,0.386299951,-0.123603003
-1.290488379,0.425896509,-0.088538306
-1.194419043,0.413765771,-0.059180396
-1.145285742,0.400063379,0.001274927
-1.114676611,0.36716543,0.031182153
-1.044806616,0.374535425,0.100945337
-0.995856421,0.382271631,0.145455225
-0.934851782,0.348061426,0.163460596
-0.868506567,0.348183496,0.180031641
-0.836783545,0.336327417,0.213524683
-0.78996958,0.322701318,0.254723413
-0.730902808,0.306725366,0.30289541
-0.690009253,0.306374414,0.357094629
-0.616782324,0.281655176,0.357750757
-0.557044165,0.282662256,0.402306421
-0.504996436,0.29055105,0.441201074
-0.438666479,0.285668237,0.44843374
-0.390769141,0.269326074,0.440850122
-0.34995188,0.224495752,0.455284937
-0.286399023,0.201409204,0.445839746
-0.223914282,0.165612085,0.436074121
-0.134543555,0.127190454,0.411248071
-0.030493872,0.087365015,0.381539209
0.072594507,0.056725366,0.359108789
0.187325342,0.031624658,0.345284326
0.274086816,0.005547388,0.334755762
0.342018945,0.005486353,0.324181421
0.38593374,0.007576807,0.324166162
0.401909692,0.004616602,0.303734644
0.409523828,0.003762109,0.288811548
0.425087793,-0.020178931,0.271035059
0.483132227,-0.079184668,0.225594385
0.528542383,-0.116767065,0.175911768
0.563362939,-0.148169653,0.145104272
0.593773706,-0.170294897,0.115563257
0.590004785,-0.170966284,0.101021631
0.584984644,-0.193549292,0.076653345
0.558174951,-0.191474097,0.036080225
0.495888574,-0.180167334,-0.014166968
0.393166406,-0.163916724,-0.079352515
0.283684595,-0.159613745,-0.096274512
0.209206445,-0.185782568,-0.094458716
0.133583887,-0.221488135,-0.094702856
0.046196802,-0.258017676,-0.038504736
-0.028662817,-0.299414771,-0.02031626
-0.093238013,-0.319388525,-0.022269385
-0.175040381,-0.331214087,-0.08406748
-0.270774023,-0.347312109,-0.153739111
-0.356635229,-0.384787695,-0.245703833
-0.46903147,-0.403800146,-0.297537939
-0.595633643,-0.393469946,-0.304236548
-0.695120947,-0.38208689,-0.307944434
-0.772772925,-0.408484595,-0.298514502
-0.807852881,-0.393271582,-0.26439585
-0.833426611,-0.413779395,-0.238379614
-0.869284766,-0.406134741,-0.24095835
-0.935279028,-0.426459448,-0.264746802
-1.059439795,-0.469077246,-0.285910742
-1.215949194,-0.374838965,-0.288413184
-1.324759619,-0.317008154,-0.299918311
-1.417777197,-0.248801367,-0.279364722
-1.440940039,-0.198691504,-0.207022803
-1.381812231,-0.213797705,-0.129660742
-1.276892798,-0.292288916,-0.077155249
-1.181967871,-0.427909033,-0.022162573
-1.209082739,-0.418265479,0.057595117
-1.307883398,-0.350821631,0.127266748
-1.428214209,-0.31832041,0.191719873
-1.556113379,-0.266577856,0.24796377
-1.660193579,-0.271857397,0.268029077
-1.744727271,-0.284842627,0.234383447
-1.813834326,-0.282981055,0.178414209
-1.813834326,-0.282981055,0.178414209
-1.896247046,-0.183798926,-0.004859106
-1.896247046,-0.183798926,-0.004859106
-1.930060522,-0.180686133,-0.077353613
-1.931906836,-0.227240698,-0.145758765
-1.906394141,-0.29576792,-0.234717505
-1.941626685,-0.31328501,-0.293616431
-1.981345313,-0.33495249,-0.341284888
-2.04790415,-0.366019385,-0.374747412
-2.133826392,-0.398139136,-0.371176855
-2.189749854,-0.440283911,-0.378638403
-2.201483862,-0.524253027,-0.414511816
-2.174994604,-0.562491553,-0.476737158
-2.120307104,-0.575232642,-0.619971411
-2.083274023,-0.561652319,-0.774314063
-2.034735815,-0.549430029,-0.937445776
-1.987815039,-0.520133154,-1.072409766
-1.900458472,-0.487906592,-1.195960181
-1.823477881,-0.446555273,-1.29349436
-1.745383398,-0.387427466,-1.356055396
-1.628668921,-0.368659155,-1.3877479
-1.524649756,-0.336737769,-1.3643104
-1.414694922,-0.291083472,-1.334097998
-1.292182104,-0.249976294,-1.28014292
-1.17391123,-0.208228247,-1.211524146
-1.053275244,-0.165488379,-1.12338938
-0.910193579,-0.134802954,-1.02561106
-0.755530493,-0.082785742,-0.925192969
-0.574851172,-0.043402808,-0.817053931
-0.375739233,-0.000983374,-0.693396704
-0.185065405,0.066643579,-0.554190771
-0.00052561,0.146920068,-0.380713599
0.173714502,0.219490869,-0.179328101
0.301232202,0.25728689,0.036660059
0.375756128,0.274575098,0.285332544
0.431954248,0.300133569,0.500542505
0.481758936,0.30591665,0.656685693
0.490868433,0.280449731,0.761391504
0.486275537,0.265511377,0.844109399
0.454369409,0.268196924,0.928719385
0.407784326,0.274346216,0.979042871
0.350548608,0.292824609,0.996620996
0.272942407,0.326805933,0.98548208
0.164727075,0.349190576,0.942833765
0.005349023,0.362313135,0.842232568
-0.168555396,0.326226099,0.726754053
-0.355795996,0.270729883,0.628182275
-0.531592505,0.232735498,0.576653345
