Gryoscope_X,Gryoscope_Y,Gryoscope_Z
-0.078675771,-0.047242747,0.142469658
-0.043603806,-0.006687865,0.139063476
0.000740224,0.021787984,0.184600068
0.00190802,-0.004756807,0.275435968
-0.04631597,-0.042723099,0.406415297
-0.147492649,-0.026197916,0.554352803
-0.293626951,0.020033227,0.681971474
-0.423984693,0.06501109,0.756444378
-0.476250307,0.094892552,0.789844973
-0.463540094,0.084410085,0.835174902
-0.409241693,0.047859797,0.928800209
-0.353750216,0.004963198,1.049784405
-0.333630042,-0.054686284,1.123465521
-0.294188367,-0.185426192,1.146884306
-0.225357355,-0.361848103,1.181927307
-0.167945998,-0.470012115,1.317879541
-0.129633235,-0.49699633,1.54024945
-0.197873534,-0.458158927,1.824516876
-0.381258534,-0.374116467,2.11484061
-0.628789799,-0.350460158,2.362264974
-0.873181121,-0.408229159,2.562534912
-1.034957783,-0.565146344,2.693071945
-1.034028666,-0.768555419,2.800473793
-1.034028666,-0.768555419,2.800473793
-0.898442047,-0.938138025,2.932613237
-0.489089655,-1.085135238,3.147823913
-0.489089655,-1.085135238,3.147823913
-0.215601401,-1.21525933,3.390186174
-0.215601401,-1.21525933,3.390186174
-0.136928962,-1.309245245,3.433892353
-0.154990779,-1.413056629,3.480389459
-0.254690485,-1.497236984,3.586239917
-0.342370795,-1.622835176,3.715900285
-0.183841603,-2.297442334,3.682179315
-0.183841603,-2.297442334,3.682179315
0.105396858,-2.65516557,3.581065757
0.487142099,-2.967533247,3.434170826
0.895479245,-3.163893597,3.271773918
1.374580605,-3.10200824,2.819219453
1.374580605,-3.10200824,2.819219453
1.314059241,-3.027748244,2.51845084
1.126977427,-3.082549231,2.256236894
0.908241911,-3.275664704,2.076396568
0.733567042,-3.561453478,2.028442009
0.625217123,-3.884910958,2.050107582
0.52861522,-4.063195841,2.043122156
0.414419426,-4.074350493,1.783420546
0.300014807,-3.903094666,1.386859043
0.154040037,-3.568273442,1.000048561
0.020404739,-3.246590989,0.663358374
-0.080109881,-3.025823729,0.343783064
-0.208679573,-3.037473338,-0.016182566
-0.237608166,-3.200651543,-0.444544302
-0.10693218,-3.320617573,-0.9015065
0.010764895,-3.430842059,-1.234435217
0.110953545,-3.451910155,-1.451282518
0.073696992,-3.292281048,-1.631478684
-0.072896445,-3.067161696,-1.875236766
-0.307854371,-2.726356881,-2.10838403
-0.583699779,-2.420114891,-2.345571177
-0.784890132,-2.153085606,-2.620477812
-0.919067936,-1.977896349,-2.797823088
-1.028569119,-1.967563527,-2.896256583
-1.080243008,-2.191122668,-3.011165993
-1.013934033,-2.55694093,-3.082996743
-0.861238437,-2.977894919,-3.163031952
-0.695920603,-3.273594754,-3.260997193
-0.611092524,-3.326885121,-3.329361336
-0.808495896,-3.035273449,-3.432805197
-1.132199662,-2.437060254,-3.523531096
-1.458124773,-1.739865916,-3.527004855
-1.768983619,-1.090604322,-3.488309281
-1.997122424,-0.642380969,-3.381013529
-2.102188723,-0.392223583,-3.294111626
-2.126628058,-0.401465284,-3.253447668
-2.043887513,-0.617573099,-3.166301386
-1.893442171,-1.049884574,-3.058307784
-1.674605386,-1.47294368,-2.892627375
-1.44931318,-1.624320166,-2.673282998
-1.261541622,-1.439179318,-2.468055146
-1.197993057,-0.961714761,-2.239451783
-1.208226817,-0.325274901,-1.958547132
-1.206480758,0.219902395,-1.589597003
-1.236873882,0.570334716,-1.168539302
-1.253732221,0.699817581,-0.777607994
-1.246889965,0.666575773,-0.446754472
-1.227580802,0.46452759,-0.21781555
-1.165818827,0.193698226,-0.04527414
-1.042408245,-0.085740076,0.13709007
-0.883235114,-0.336694525,0.349126978
-0.734877067,-0.449169682,0.627652867
-0.657761769,-0.451530026,0.959207101
-0.666441517,-0.312272535,1.29920171
-0.7374651,-0.079896832,1.61202143
-0.808351295,0.216740159,1.885342939
-0.737852888,0.554106755,2.077392204
-0.622890072,0.855759544,2.135095937
-0.575484471,1.102619393,2.128737552
-0.575012045,1.312949164,2.137599094
-0.710241513,1.406059487,2.161920173
-0.897289114,1.369193776,2.198888881
-1.075521724,1.228136046,2.286003454
-1.114322083,1.101704819,2.354997022
-1.031945722,0.975679023,2.382650001
-0.808639424,0.979949935,2.386836393
-0.547246175,1.130999668,2.366904123
-0.3922558,1.322332008,2.314138754
-0.358680801,1.437967522,2.288850887
-0.399040745,1.491124017,2.280477626
-0.488233464,1.458604081,2.357357605
-0.590079384,1.378116472,2.458836658
-0.716940956,1.412282927,2.529228551
-0.75138654,1.48878382,2.579833849
-0.660087244,1.604761584,2.582314832
-0.594196634,1.691703422,2.509382112
-0.576275425,1.773366315,2.317298038
-0.59209569,1.859958155,2.011499031
-0.694885986,1.97270499,1.694760425
-0.881124275,2.009127958,1.532800539
-0.939958827,1.722354038,1.60527323
-0.746199207,1.140309794,1.909771545
-0.533203082,0.496336652,2.275684221
-0.48192762,-0.047175901,2.504562481
-0.648955779,-0.267346607,2.496892316
-1.015313761,-0.094506131,2.272394521
-1.433780806,0.354202671,1.918361886
-1.706582205,0.760968847,1.5896226
-1.8536817,0.936415477,1.400714142
-1.949895518,0.861081345,1.353554113
-2.004112141,0.657967372,1.349925263
-2.070946591,0.440710677,1.199348075
-2.125877755,0.291218383,0.892031772
-2.076042788,0.264174266,0.574039681
-1.983445542,0.288901968,0.262804074
-1.882212179,0.332045181,0.021171197
-1.811345951,0.39018972,-0.176204191
-1.838243859,0.335687054,-0.369264202
-1.965083854,0.204067243,-0.579266982
-2.149135249,0.140743671,-0.853218334
-2.324188845,0.163618891,-1.146375434
-2.316289322,0.340609653,-1.441010492
-2.076407092,0.54880069,-1.725184696
-1.590908067,0.679078503,-1.962724583
-0.995808797,0.538928313,-2.160838501
-0.436313795,0.195834084,-2.272890942
0.039605333,-0.230185928,-2.353218453
0.444029762,-0.558317737,-2.462443249
0.869919045,-0.650468962,-2.556246416
1.273216708,-0.628811853,-2.61471142
1.60850416,-0.491144018,-2.667178767
1.877008779,-0.283005999,-2.729997771
2.130794389,-0.065428676,-2.774221795
2.381085737,0.019362644,-2.777811663
2.603751762,-0.091111133,-2.723387377
2.78341852,-0.324692743,-2.611617224
2.944487913,-0.560746567,-2.490781443
3.061680658,-0.608252542,-2.330206053
3.157596214,-0.467131095,-2.087614195
3.24349509,-0.281154053,-1.772331731
3.275479419,-0.126852887,-1.346172707
3.220994098,0.035622841,-0.834266262
2.972143037,0.283571912,-0.298709081
2.506494386,0.536420448,0.1936146
1.958678706,0.649799986,0.574513478
1.541517956,0.555673225,0.82383172
1.344625337,0.203073083,1.035854681
1.209306939,-0.340957986,1.244257434
0.994332595,-0.834804432,1.510831936
0.671423001,-1.032290118,1.881769998
0.291075899,-0.780318038,2.335228307
-0.079710679,-0.238044919,2.780125005
-0.343285339,0.292761428,3.076619012
-0.41611238,0.63086967,3.199272258
-0.357706087,0.785208387,3.138604505
-0.309649067,0.731330795,3.041495903
-0.330438511,0.5178145,3.015747411
-0.406539129,0.189000411,3.011515482
-0.482874112,-0.074521774,3.012895925
-0.701767044,-0.159009756,2.967585189
-1.097564952,-0.042800328,2.849378212
-1.449823992,0.164954199,2.733288629
-1.588496344,0.274468972,2.586734159
-1.522231357,0.236508547,2.392241581
-1.383664148,0.131622611,2.245533569
-1.336632149,-0.080475004,2.056081159
-1.465558426,-0.432652222,1.850321515
-1.710158603,-0.874981182,1.6809213
-1.944091217,-1.320906417,1.529121382
-2.106400864,-1.68890156,1.380194051
-2.162220375,-1.859994428,1.184266074
-2.174645798,-1.80408694,0.893660052
-2.210436242,-1.518288271,0.562139912
-2.273300784,-1.167872922,0.240457205
-2.297371046,-0.928375678,-0.053370414
-2.239389317,-0.881790893,-0.321562724
-2.168419974,-0.99570282,-0.611880557
-2.082003252,-1.192697303,-0.941940741
-1.950465457,-1.376597659,-1.294078843
-1.761336582,-1.48251714,-1.635826008
-1.512441294,-1.504105346,-1.901533382
-1.242180245,-1.421592848,-2.121703761
-0.991785006,-1.26999666,-2.320926802
-0.782109039,-1.096044557,-2.499325888
-0.629599886,-0.991877692,-2.656744378
-0.464718805,-0.997909503,-2.778999941
-0.299217747,-1.095168369,-2.894162552
-0.174071805,-1.241304057,-3.0189413
-0.042736413,-1.359001057,-3.137417214
0.056765678,-1.451670544,-3.240703957
0.127513616,-1.515001075,-3.315144198
0.19338025,-1.484728353,-3.350161211
0.198228,-1.385581868,-3.377514975
0.176758928,-1.231121437,-3.378590958
0.108699447,-1.075264947,-3.381820815
0.007629822,-0.972830253,-3.433405535
-0.059351874,-0.919415729,-3.484949248
-0.11967753,-0.935921507,-3.514157908
-0.151657568,-1.007198827,-3.495825903
-0.180213319,-1.048463957,-3.47581424
-0.249362828,-1.021370666,-3.475571053
-0.315313892,-0.912553863,-3.478953974
-0.406828092,-0.808401065,-3.493366616
-0.447370456,-0.69918509,-3.466720478
-0.485606776,-0.558065789,-3.410870688
-0.529413896,-0.40789281,-3.386807339
-0.593863206,-0.262969719,-3.392622368
-0.632558958,-0.135300429,-3.423641579
-0.649393575,-0.0137772,-3.403849976
-0.693465726,0.153180091,-3.320484536
-0.723146396,0.353874577,-3.091169016
-0.683266835,0.470003588,-2.684956448
-0.57068439,0.517927153,-2.170257466
-0.538901703,0.557182713,-1.614674108
-0.538901703,0.557182713,-1.614674108
-0.416703628,0.649693711,-0.52203192
-0.125435816,0.584606333,0.030425681
0.229304163,0.477744593,0.574256463
0.50788228,0.452972127,1.135794385
0.50788228,0.452972127,1.135794385
0.705333037,0.513675435,1.709743364
0.95512764,0.787770374,2.685841901
1.053200228,0.984435482,3.065843446
1.053200228,0.984435482,3.065843446
1.061394675,1.144290192,3.290639503
0.962057991,1.234995825,3.347869499
0.771019323,1.315443738,3.252847059
0.511866076,1.295862658,3.086957796
0.252825452,1.124154193,2.932092054
0.067872925,0.849231584,2.8310021
0.032827055,0.675525291,2.777123077
0.045041641,0.688577993,2.742641552
-0.002657703,0.881800456,2.747899158
-0.083200218,1.187677605,2.767649992
-0.155462967,1.492832167,2.755491121
-0.155462967,1.492832167,2.755491121
-0.121926838,1.440655215,2.680407627
-0.131105425,1.288228138,2.587946756
-0.203906925,1.132764204,2.532251937
-0.254587428,1.016267998,2.511553629
-0.270459847,0.965823455,2.462270124
-0.304597305,0.975724025,2.39456044
-0.36657946,1.028265817,2.261335952
-0.373937504,1.077988131,2.170958145
-0.183236273,1.117206795,2.200791938
-0.022362431,1.138802989,2.225308282
-0.037120072,1.177464349,2.142569883
-0.203766571,1.096527083,1.998481734
-0.38486232,0.753354354,1.80639003
-0.471824394,0.314930899,1.634732587
-0.450175302,0.10716573,1.517030699
-0.352092938,0.215399532,1.448559506
-0.291745441,0.523651106,1.3895912
-0.294066386,0.837130172,1.332708819
-0.49295898,0.650974972,1.296002967
-0.49295898,0.650974972,1.296002967
-0.678790347,0.317542685,1.23672734
-0.86876853,-0.002203102,1.106974466
-0.845512466,-0.231134014,1.026522977
-0.576782482,-0.35742058,1.018751605
-0.355379807,-0.287834065,1.018593414
-0.374188112,-0.019100061,1.018931134
-0.494950758,0.260133458,1.018779619
-0.629098432,0.36075352,0.988730891
-0.702194767,0.284344508,0.878103478
-0.691949563,0.078678167,0.674480004
-0.620956914,-0.231459455,0.454796923
-0.564106123,-0.479008274,0.288393034
-0.594207303,-0.549298124,0.16374646
-0.644540505,-0.500940995,0.056228517
-0.649358945,-0.452291446,-0.044705288
-0.616506772,-0.449177937,-0.164734753
-0.526752608,-0.505741851,-0.335000234
-0.431923585,-0.610449092,-0.559828834
-0.329896288,-0.735936181,-0.805493729
-0.227031948,-0.852820473,-1.02023639
-0.160814585,-0.942410307,-1.156764882
-0.157080563,-0.939951138,-1.286529319
-0.195166694,-0.878779666,-1.450821059
-0.207046794,-0.781009154,-1.652444141
-0.199602993,-0.740474241,-1.853021758
-0.172764184,-0.762497799,-2.021679776
-0.158248367,-0.779289024,-2.17898597
-0.110805744,-0.794915633,-2.31673135
-0.035362387,-0.790777104,-2.453658001
0.032906151,-0.801831083,-2.569534914
0.066015897,-0.784887509,-2.629038947
0.082179954,-0.755097108,-2.613890307
0.088031983,-0.682472186,-2.571572678
0.061691193,-0.609370785,-2.554095404
0.026645856,-0.564935164,-2.535315649
0.02206602,-0.591384368,-2.463136332
0.045798248,-0.705659525,-2.34761204
0.116490795,-0.813936191,-2.237854617
0.156055777,-0.79695137,-2.13946356
0.156084536,-0.651286797,-2.004359381
0.145612193,-0.498826193,-1.810103314
0.198193116,-0.394585537,-1.530215161
0.302401526,-0.352283614,-1.156716721
0.375381483,-0.272905426,-0.753271775
0.407069368,-0.073696727,-0.34606673
0.379838271,0.139662696,0.042670628
0.377300544,0.317443324,0.382130189
0.422738059,0.463002397,0.649584515
0.437564952,0.554676933,0.871847673
0.408541812,0.630630536,1.124045355
0.38540454,0.684518559,1.397725566
0.386159552,0.677628679,1.646826727
0.37846647,0.681703074,1.902611954
0.327316476,0.719615026,2.137329204
0.260748102,0.773335261,2.297330959
0.204442484,0.767237647,2.35167299
0.144928022,0.707808418,2.319301469
0.048963415,0.578557773,2.204553468
-0.069737935,0.433785124,2.014405592
-0.221704559,0.309846951,1.853452427
-0.340951877,0.258557124,1.743744834
-0.444710212,0.315788461,1.674086077
-0.579080539,0.428113384,1.667602046
-0.689829962,0.523259087,1.696365817
-0.703619258,0.522061987,1.719449027
-0.600847618,0.469983084,1.743768437
-0.49759634,0.402415766,1.69343744
-0.449670093,0.362983925,1.60846792
-0.488954918,0.291098816,1.494325621
-0.596375363,0.187423287,1.347637637
-0.732766764,0.061948454,1.163870795
-0.84502192,-0.089081811,0.969273074
-0.905210452,-0.203618767,0.744348331
-0.918126242,-0.253137844,0.479794158
-0.932460444,-0.281238722,0.214093251
-0.955605166,-0.291339563,-0.033955173
-0.965183215,-0.301770644,-0.265486674
-0.959164517,-0.323151575,-0.513747053
-0.901209073,-0.3464361,-0.750900226
-0.840815501,-0.376918392,-0.979074554
-0.786291497,-0.418417619,-1.136568324
-0.731624262,-0.459924059,-1.24295594
-0.659975366,-0.489083009,-1.320044892
-0.563784139,-0.508848743,-1.425900476
-0.495136099,-0.500134842,-1.56308903
-0.44223188,-0.495316135,-1.687216298
-0.390674161,-0.521435099,-1.792520897
-0.319275336,-0.562339084,-1.889345186
-0.243192019,-0.585970657,-1.961287753
-0.17020862,-0.595837431,-2.017333643
-0.12713732,-0.612220662,-2.045216458
-0.108498113,-0.610275226,-2.02921118
-0.092502901,-0.551627355,-2.00678076
-0.073962511,-0.43500139,-2.00737776
-0.033323204,-0.329352455,-2.014830964
0.02823603,-0.288814353,-1.980031149
0.066003649,-0.319830077,-1.885598318
0.095021187,-0.406099187,-1.737977164
0.142933844,-0.467936711,-1.557368534
0.221598832,-0.501509027,-1.386325614
0.330473377,-0.4848177,-1.182766216
0.437247766,-0.363739746,-0.95649709
0.481809391,-0.166450636,-0.727248149
0.471268309,0.142166061,-0.486489074
0.431866063,0.463645829,-0.232374789
0.385647161,0.705979867,0.069919562
0.397381319,0.766268296,0.445720358
0.428795172,0.70371805,0.809062345
0.423620654,0.567916019,1.129165514
0.422021402,0.435035749,1.398410304
0.427615388,0.372157974,1.611891372
0.375032319,0.502109571,1.797153695
0.302658541,0.73205678,1.969108923
0.248061864,0.924390538,2.10181628
0.15252283,1.040019376,2.228677137
0.02536461,1.122864468,2.343183143
-0.125883492,1.100708587,2.356446607
-0.259432511,0.962395175,2.314678533
-0.326424854,0.715026362,2.284610374
-0.359654711,0.460443629,2.215039356
-0.378160225,0.281904264,2.129119022
-0.374070929,0.187982811,2.047246797
-0.382136332,0.141913323,1.98896168
-0.458006577,0.146899296,1.940718873
-0.614404158,0.181026114,1.874895675
-0.823059397,0.242903589,1.788742645
-1.042109744,0.251225962,1.638503893
-1.199890034,0.100545382,1.398278458
-1.261546748,-0.231428297,1.126822693
-1.32888283,-0.579688804,0.908322079
-1.414671557,-0.846683221,0.66808526
-1.503335612,-0.988607602,0.403083129
-1.562203185,-0.978238599,0.164689211
-1.600336449,-0.819908039,-0.065278204
-1.571812169,-0.576939361,-0.287095563
-1.470761435,-0.319040971,-0.548554616
-1.363263743,-0.184930833,-0.85518326
-1.26658334,-0.190863298,-1.194826023
-1.173617141,-0.269676076,-1.536264555
-1.075923102,-0.433173137,-1.845017927
-0.961093144,-0.612215834,-2.06557049
-0.921553211,-0.724720018,-2.204376595
-0.894483762,-0.739559429,-2.298168557
-0.861779349,-0.668654101,-2.394999878
-0.822728591,-0.582554655,-2.502188342
-0.72843595,-0.530972378,-2.590236084
-0.597603636,-0.547508793,-2.629536288
-0.462068425,-0.598024921,-2.61689295
-0.343739675,-0.635777907,-2.561819928
-0.226864965,-0.64998986,-2.471879856
-0.079262996,-0.639424579,-2.382758038
0.113729624,-0.587860422,-2.281584875
0.309083684,-0.443168239,-2.169532673
0.470808936,-0.170470672,-2.078722136
0.541971011,0.152184604,-1.986362474
0.58597122,0.496278865,-1.880212324
0.653348906,0.756774111,-1.754573958
0.831725581,0.813001139,-1.571680562
1.066554649,0.646973057,-1.319599645
1.273310406,0.448049022,-1.027393834
1.440377457,0.391781224,-0.767973201
1.566747887,0.548627837,-0.574704425
1.650328858,0.762862606,-0.41496964
1.746752246,0.896916313,-0.214241328
1.933518751,0.97473572,0.03501484
1.948127492,1.038679822,0.225673733
1.729519827,1.029410703,0.401851429
1.39007674,0.914809032,0.595660551
1.059403761,0.641871495,0.776637538
0.777411206,0.31420414,0.891279442
0.54393105,0.060403021,0.908580406
0.316888346,-0.069539534,0.922034962
0.249404369,0.072690046,1.067041738
0.246317236,0.457678748,1.293148382
0.314089609,0.911294682,1.542974098
0.349713398,1.361547096,1.738957508
0.349713398,1.361547096,1.738957508
-0.052923271,1.766758187,2.116144998
-0.196249546,1.531640513,2.317060812
-0.196249546,1.531640513,2.317060812
-0.14713818,0.296466155,2.718083723
-0.14713818,0.296466155,2.718083723
-0.128349053,-0.124281073,2.843346222
-0.179074021,-0.197244497,2.856106384
-0.393015342,-0.085152844,2.877096756
-0.767126636,0.017412678,2.947167976
-1.224456565,-0.022122215,2.981103761
-1.553845661,-0.394145833,2.869885786
-1.72427501,-1.025590436,2.647564514
-1.825873749,-1.521433728,2.23589669
-1.94086446,-1.653944867,1.730720384
-2.05510153,-1.415246026,1.280627949
-2.175009625,-0.9624386,0.894127412
-2.233631031,-0.508365886,0.575902565
-2.169408219,-0.250502394,0.296842976
-1.99727215,-0.303148554,0.003987682
-1.759823935,-0.555708127,-0.309411244
-1.472579019,-0.780514316,-0.676650779
-1.174287455,-0.87810667,-1.025265233
-0.939215021,-0.822750704,-1.310616271
-0.774348574,-0.68762912,-1.520270722
-0.62980576,-0.58582844,-1.689607279
-0.448393898,-0.569607155,-1.877793686
-0.205706151,-0.638283925,-2.075840609
0.069962701,-0.713506,-2.251628296
0.26580037,-0.760449784,-2.419145005
0.423282428,-0.738661425,-2.552554505
0.551017983,-0.736624913,-2.618611472
0.636421843,-0.775590675,-2.620980637
0.742003663,-0.81850429,-2.556387322
0.829633398,-0.881795661,-2.47106971
0.870345159,-0.902800279,-2.36767997
0.857129438,-0.838513153,-2.282730238
0.796916468,-0.715481,-2.222153084
0.69133733,-0.57679184,-2.144211666
0.567025228,-0.503093378,-1.973751681
0.401851429,-0.509561913,-1.745484846
0.132558702,-0.687964694,-1.510713713
-0.166638644,-0.916361647,-1.313783781
-0.423357801,-1.077458875,-1.180686252
-0.605529981,-1.148615138,-1.05215563
-0.705149786,-1.153753893,-0.945225255
-0.73593487,-1.079044835,-0.873092191
-0.761349158,-0.881783144,-0.760069506
-0.800625698,-0.575217085,-0.587502794
-0.774769859,-0.213798703,-0.364921378
-0.683533208,0.132047383,-0.089785682
-0.565206246,0.402345969,0.244806959
-0.371828275,0.668805642,0.588925464
-0.025360087,0.903429313,0.885468407
0.387893809,0.997258051,1.095947845
0.699769957,1.034352405,1.246088131
0.832197232,1.117214305,1.385863288
0.849408968,1.210530145,1.579068525
0.903087897,1.161480291,1.824392541
0.996732874,0.951760872,2.049109323
1.02141319,0.804051085,2.239591224
0.991253955,0.827033622,2.344840152
0.940707965,0.89485739,2.343805416
0.875673337,0.931650026,2.334465368
0.755142672,0.901823444,2.361827953
0.617613299,0.866402311,2.425852163
0.498592628,0.857060237,2.494173153
0.351761086,0.848306162,2.490813358
0.188678174,0.815254731,2.37445174
0.068590647,0.720455511,2.266473158
0.022417024,0.540133937,2.144063099
-0.024459671,0.359224064,2.000554426
-0.157851817,0.285160495,1.956792576
-0.221420409,0.242679356,1.961032374
-0.091540972,0.156093059,1.982352598
0.183962239,0.141722111,2.001808746
0.250519706,0.259037567,1.933670504
0.025846642,0.374542846,1.8131548
-0.307951288,0.263304217,1.715760572
-0.575912433,-0.090133222,1.612925036
-0.69918056,-0.492229538,1.491175873
