Gryoscope_X,Gryoscope_Y,Gryoscope_Z
0.069699055,-0.208762931,0.135123072
0.063533565,-0.224844696,0.129639087
0.060989982,-0.202505039,0.122080764
0.068460947,-0.178776013,0.111695772
0.086193873,-0.155767368,0.100286519
0.103510542,-0.123246433,0.0984034
0.117738752,-0.093977229,0.093776955
0.128007366,-0.078121567,0.085340066
0.139305292,-0.077942068,0.077837674
0.140987082,-0.069066288,0.065733602
0.145921646,-0.052288906,0.059031228
0.155042706,-0.044293562,0.044697827
0.16464874,-0.048418267,0.039786427
0.178567751,-0.039012516,0.024853017
0.188920779,-0.03157484,0.012559599
0.193417801,-0.017142637,-0.000925051
0.180640219,0.005768272,-0.010246647
0.159843592,0.024697222,-0.019049726
0.131092368,0.042458641,-0.021413015
0.096066473,0.043402465,-0.029258154
0.060533514,0.019113904,-0.033568481
0.019971177,-0.00821146,-0.040340898
0.019971177,-0.00821146,-0.040340898
-0.069860177,-0.067675585,-0.035209255
-0.069860177,-0.067675585,-0.035209255
-0.11443563,-0.069136331,-0.01862362
-0.148321958,-0.058196595,-0.01099899
-0.185010196,-0.053136324,-0.015543675
-0.217465343,-0.039610127,-0.032407341
-0.256700354,-0.028702887,-0.06112341
-0.297563897,-0.026497522,-0.089553455
-0.345397489,-0.028994769,-0.102917464
-0.394356238,-0.013859758,-0.103288973
-0.444246547,-0.004443087,-0.092326866
-0.489056097,-0.0058511,-0.077101314
-0.525432484,-0.016542626,-0.065236928
-0.561434941,-0.048540773,-0.058500727
-0.594903426,-0.098814064,-0.058475429
-0.637206988,-0.152717503,-0.054591475
-0.675124245,-0.188638227,-0.052972274
-0.700573163,-0.196388559,-0.050900066
-0.705613153,-0.20388429,-0.046554586
-0.698822396,-0.23286082,-0.044323923
-0.657413976,-0.281322347,-0.040434109
-0.585119502,-0.358740436,-0.015331421
-0.498208063,-0.451468782,0.025903367
-0.399678813,-0.54229881,0.072994178
-0.279915141,-0.613522665,0.132241784
-0.153983312,-0.671676235,0.200373439
-0.029217675,-0.708771186,0.259420527
0.101904122,-0.744676189,0.297462447
0.228526516,-0.773995178,0.326297803
0.3520274,-0.774427133,0.352226092
0.462942733,-0.767079728,0.382824196
0.560706062,-0.766451256,0.420599027
0.644245131,-0.779808061,0.474625779
0.712219937,-0.800442235,0.536473436
0.778999491,-0.804149585,0.617345376
0.860804124,-0.823272185,0.698529942
0.961250289,-0.859147327,0.771707757
1.074828251,-0.913275318,0.827013118
1.172893269,-0.986793713,0.877036078
1.240728004,-1.032992141,0.920941753
1.268928154,-1.043084161,0.942908032
1.269584997,-1.019877689,0.915715559
1.256960733,-0.9655111,0.849632425
1.243084056,-0.892993467,0.750441117
1.221828086,-0.814124184,0.638875706
1.191786034,-0.730104701,0.537244959
1.140957697,-0.618702547,0.445440455
1.080554826,-0.49485995,0.363635345
1.002228363,-0.365500884,0.275430096
0.914370639,-0.284083532,0.186742051
0.820908589,-0.225228192,0.113907522
0.729486032,-0.195508914,0.066987155
0.652743561,-0.212333428,0.032756748
0.602788253,-0.269348519,0.00354613
0.581203623,-0.362442778,-0.034672363
0.575136407,-0.464540647,-0.087928125
0.574937446,-0.54282053,-0.154292496
0.58486758,-0.543564634,-0.219644876
0.592480762,-0.452971594,-0.297634469
0.575838668,-0.310118036,-0.37699108
0.536780222,-0.106697822,-0.429888116
0.470741017,0.119242905,-0.462071376
0.400746478,0.324490858,-0.483110593
0.326292766,0.477322472,-0.479570197
0.245583264,0.590015216,-0.436157213
0.178802906,0.649796231,-0.361854749
0.145286752,0.633482022,-0.281167613
0.138652815,0.56374578,-0.221125858
0.138976125,0.483151598,-0.17161903
0.132895334,0.40574391,-0.119944112
0.117264709,0.388429625,-0.042814443
0.099301947,0.393609746,0.061182263
0.103667936,0.368074818,0.192744015
0.096094443,0.328310354,0.337302251
0.054459645,0.310137762,0.481457843
-0.002662231,0.289048715,0.592906339
-0.101837547,0.247984363,0.665959759
-0.230782481,0.195836483,0.7095419
-0.375223564,0.132515831,0.735547109
-0.545193689,0.050880356,0.760003967
-0.732649581,-0.027837092,0.781595273
-0.903379815,-0.052268399,0.78872673
-1.028844731,0.001207342,0.759801848
-1.101710694,0.096474474,0.691675527
-1.139883177,0.158583118,0.60830049
-1.157397168,0.179713441,0.526885493
-1.14520623,0.189832656,0.431401326
-1.119917648,0.206938399,0.332560225
-1.085818307,0.219448595,0.235018773
-1.051134841,0.289590938,0.125239803
-1.059770958,0.3578829,0.042738276
-1.11725642,0.394113077,-0.020415129
-1.207901018,0.427505655,-0.095577257
-1.322268383,0.440662993,-0.137434425
-1.447490232,0.402040256,-0.107416341
-1.541172998,0.317485674,-0.040145958
-1.570718424,0.267359121,0.017950103
-1.534408109,0.267845167,0.039999211
-1.440617459,0.286986901,-0.017590314
-1.329506652,0.308962239,-0.117197329
-1.268593924,0.306288166,-0.19926876
-1.245962756,0.354970468,-0.193844171
-1.230400817,0.404855741,-0.108006494
-1.212458866,0.416838898,0.00823063
-1.145797985,0.437695457,0.11271709
-1.035791652,0.449173404,0.156851797
-0.915318208,0.52408783,0.139968155
-0.805774944,0.614656134,0.105347863
-0.697282271,0.664089961,0.066975704
-0.576874928,0.676830275,0.05345803
-0.429969625,0.681230886,0.071867129
-0.251408147,0.653411789,0.104241846
-0.079497093,0.646275027,0.142958878
0.069074011,0.669387026,0.203294931
0.196576042,0.707887514,0.274087085
0.318080886,0.743479056,0.355876489
0.448294832,0.739317103,0.430988265
0.582714183,0.707927747,0.496273531
