class_name,Acceleration_X,Acceleration_Y,Acceleration_Z,Gryoscope_X,Gryoscope_Y,Gryoscope_Z
0,-0.455291748,-0.653656006,-0.666503906,0.152590081,-0.4636558,0.337662727
,-0.508239746,-0.636123657,-0.591079712,0.037971616,-0.342613816,0.401150614
,-0.529586792,-0.57069397,-0.538726807,-0.16714026,-0.125394404,0.465932548
,-0.521347046,-0.571029663,-0.559967041,-0.409394175,0.012635102,0.559463322
,-0.498641968,-0.606536865,-0.599563599,-0.620452106,0.052713543,0.664938867
,-0.468795776,-0.628829956,-0.608703613,-0.723352909,-0.004309793,0.790102899
,-0.472351074,-0.621704102,-0.595031738,-0.719384491,-0.130748421,0.94413507
,-0.506515503,-0.617614746,-0.592773438,-0.627390385,-0.297318488,1.057621479
,-0.527587891,-0.64616394,-0.605911255,-0.431425691,-0.53524822,1.084870577
,-0.534515381,-0.693588257,-0.603729248,-0.198788732,-0.797092617,1.09819603
,-0.581268311,-0.730209351,-0.597991943,0.013953899,-1.048967719,1.115567327
,-0.642410278,-0.744415283,-0.596618652,0.117630228,-1.222997904,1.144627213
,-0.713623047,-0.776000977,-0.624328613,0.129906073,-1.154989839,1.149376154
,-0.796386719,-0.81149292,-0.629379272,0.07361643,-0.94719559,1.097563267
,-0.890289307,-0.845123291,-0.669876099,0.034596592,-0.675131321,0.938732564
,-0.95098877,-0.897583008,-0.710739136,0.092306763,-0.547595978,0.743024349
,-1.000274658,-0.941360474,-0.756118774,0.245853439,-0.635083497,0.585988939
,-1.052001953,-0.970275879,-0.791778564,0.47667706,-0.926340878,0.459031761
,-1.067489624,-0.979476929,-0.825027466,0.77802068,-1.375687003,0.365211248
,-1.086547852,-0.984069824,-0.843795776,1.058439016,-1.82826066,0.311860144
,-1.152603149,-0.991638184,-0.89112854,1.2903862,-1.923923492,0.161092743
,-1.234588623,-1.005950928,-0.91116333,1.45675385,-1.73462975,-0.140948862
,-1.296920776,-1.007720947,-0.92489624,1.58738482,-1.541873813,-0.511324823
,-1.339279175,-0.974716187,-0.93397522,1.727633834,-1.493580103,-0.854439259
,-1.346160889,-0.938232422,-0.915145874,1.848230362,-1.583619475,-1.10308075
,-1.319915771,-0.883270264,-0.889328003,1.940928817,-1.735374331,-1.237965584
,-1.277328491,-0.840255737,-0.856430054,1.974864483,-1.810394287,-1.337349772
,-1.225112915,-0.810638428,-0.822311401,1.977922559,-1.755315781,-1.437222004
,-1.175216675,-0.778930664,-0.785171509,2.036908865,-1.624419093,-1.531834841
,-1.130599976,-0.760131836,-0.737228394,2.036908865,-1.624419093,-1.531834841
,-1.094467163,-0.761032104,-0.672225952,2.176243067,-1.183956981,-1.768211961
,-1.052032471,-0.738632202,-0.602935791,2.176243067,-1.183956981,-1.768211961
,-1.007385254,-0.701202393,-0.53074646,2.00077033,-1.011037946,-2.043168068
,-0.9506073,-0.652328491,-0.454086304,1.895901918,-1.135868549,-2.105193377
,-0.893539429,-0.634567261,-0.385940552,1.895901918,-1.135868549,-2.105193377
,-0.848831177,-0.626296997,-0.33732605,1.706816792,-1.375933051,-2.226788998
,-0.803283691,-0.602050781,-0.290771484,1.706816792,-1.375933051,-2.226788998
,-0.765640259,-0.583084106,-0.255111694,1.650809884,-1.362624168,-2.329902411
,-0.740692139,-0.563476563,-0.225784302,1.631511092,-1.235100865,-2.446406126
,-0.691040039,-0.518554688,-0.194717407,1.684907198,-1.094501972,-2.577559948
,-0.64944458,-0.47265625,-0.150665283,1.766396403,-1.020519614,-2.659641504
,-0.60774231,-0.442398071,-0.110092163,1.824351072,-1.082413554,-2.662075281
,-0.570159912,-0.422714233,-0.059295654,1.777482629,-1.15530169,-2.638661385
,-0.537368774,-0.385528564,0.001174927,1.623301029,-1.165015221,-2.634736776
,-0.500274658,-0.329956055,0.059066772,1.444199204,-1.167201996,-2.604876041
,-0.446731567,-0.308517456,0.094070435,1.294385552,-1.258087158,-2.478468895
,-0.407485962,-0.303863525,0.126098633,1.125354886,-1.313186049,-2.283447027
,-0.401611328,-0.288955688,0.147094727,0.934873939,-1.25835371,-2.105201244
,-0.414031982,-0.30178833,0.190719604,0.771176636,-0.99148953,-1.998346806
,-0.411590576,-0.307983398,0.237121582,0.668284059,-0.649121523,-1.959581852
,-0.402008057,-0.27583313,0.269134521,0.578231096,-0.388989568,-1.952909827
,-0.388275146,-0.234466553,0.327987671,0.518817842,-0.277000457,-1.921404123
,-0.3462677,-0.197357178,0.366821289,0.460512757,-0.399209708,-1.850064993
,-0.305236816,-0.183395386,0.377578735,0.371208966,-0.705817282,-1.714044333
,-0.29006958,-0.178237915,0.39175415,0.261868358,-0.959656239,-1.548210859
,-0.265655518,-0.167678833,0.391693115,0.123456158,-1.039081573,-1.439702988
,-0.244369507,-0.164993286,0.376556396,-0.035997681,-0.957630932,-1.35360086
,-0.216934204,-0.17036438,0.357223511,-0.203671902,-0.765321136,-1.268501759
,-0.180099487,-0.187469482,0.337905884,-0.362372339,-0.508332729,-1.162471414
,-0.125137329,-0.205978394,0.332321167,-0.501308382,-0.250846863,-1.076583385
,-0.076690674,-0.209396362,0.352386475,-0.570335388,-0.073427081,-0.965506971
,-0.01171875,-0.233795166,0.339645386,-0.661993921,-0.053909037,-0.820915699
,0.060577393,-0.273040771,0.304458618,-0.80943507,-0.201078787,-0.637966335
,0.096969604,-0.310028076,0.310974121,-0.925080419,-0.400110126,-0.422228217
,0.12840271,-0.312911987,0.298690796,-1.035075068,-0.561797023,-0.238472492
,0.164916992,-0.332778931,0.254852295,-1.154597282,-0.691609621,-0.081882082
,0.190231323,-0.361694336,0.219451904,-1.232021689,-0.746054769,0.081699923
,0.222229004,-0.380737305,0.15397644,-1.241882324,-0.782885194,0.257811576
,0.272842407,-0.456939697,0.069259644,-1.226216555,-0.785557926,0.438092649
,0.317428589,-0.557800293,0.004226685,-1.243101835,-0.641932607,0.596621871
,0.336547852,-0.602233887,-0.026702881,-1.298592806,-0.341721386,0.745034516
,0.340438843,-0.617523193,-0.03125,-1.331661224,-0.058424961,0.947407007
