class_name,Acceleration_X,Acceleration_Y,Acceleration_Z,Gryoscope_X,Gryoscope_Y,Gryoscope_Z
0,-0.269348145,-0.636978149,-0.735046387,0.252096683,-0.450251043,0.25827229
,-0.311798096,-0.693496704,-0.785934448,0.153987974,-0.607350647,0.25672099
,-0.31338501,-0.68069458,-0.729476929,0.102712795,-0.528083026,0.208527103
,-0.322814941,-0.633041382,-0.670318604,0.04466068,-0.381956965,0.156292662
,-0.360778809,-0.596954346,-0.669708252,-0.049130261,-0.227208912,0.125818118
,-0.396255493,-0.598510742,-0.694152832,-0.139517412,-0.068772674,0.109634086
,-0.412826538,-0.612594604,-0.683410645,-0.190979809,0.051227767,0.105225489
,-0.416351318,-0.618469238,-0.670318604,-0.192141205,0.072670475,0.101734884
,-0.41418457,-0.620361328,-0.673370361,-0.129621908,0.01461889,0.111472733
,-0.40284729,-0.616088867,-0.671157837,-0.021309549,-0.084689319,0.140230075
,-0.394180298,-0.616790771,-0.666152954,0.086243011,-0.19596152,0.174147293
,-0.385009766,-0.621917725,-0.668670654,0.141976312,-0.267314523,0.197892845
,-0.383285522,-0.628036499,-0.677536011,0.129569173,-0.275940776,0.211402789
,-0.393722534,-0.630813599,-0.68586731,0.064291641,-0.210818231,0.18913424
,-0.405792236,-0.630081177,-0.684432983,-0.009675531,-0.112241849,0.147917032
,-0.411956787,-0.622238159,-0.669540405,-0.109822638,-0.054343134,0.105848938
,-0.415405273,-0.623336792,-0.675811768,-0.210586801,-0.049938798,0.069622755
,-0.411773682,-0.631317139,-0.690338135,-0.273203313,-0.085053109,0.058479022
,-0.417144775,-0.639389038,-0.685913086,-0.277851313,-0.13838771,0.099632852
,-0.428253174,-0.642288208,-0.676544189,-0.219424501,-0.281886011,0.177751616
,-0.432052612,-0.654251099,-0.688323975,-0.100876279,-0.478413731,0.271039754
,-0.440246582,-0.68132019,-0.701477051,0.023122896,-0.642060459,0.335240036
,-0.435592651,-0.713790894,-0.713745117,0.078584291,-0.735157609,0.359522223
,-0.433303833,-0.756240845,-0.739456177,0.011946142,-0.71431309,0.377966732
,-0.443115234,-0.802841187,-0.76739502,-0.140278816,-0.630811512,0.41888088
,-0.489425659,-0.846832275,-0.806243896,-0.303974807,-0.499699831,0.444093823
,-0.540618896,-0.874588013,-0.835708618,-0.418597251,-0.367844075,0.416314125
,-0.573486328,-0.891387939,-0.847824097,-0.4436315,-0.374836445,0.354316264
,-0.595809937,-0.910110474,-0.884643555,-0.312969357,-0.598676503,0.303404093
,-0.617416382,-0.916213989,-0.927597046,-0.018667961,-0.937102437,0.266237795
,-0.642196655,-0.916473389,-0.939376831,0.415051252,-1.236220479,0.247690752
,-0.678497314,-0.903778076,-0.939254761,0.859360278,-1.364628553,0.231448933
,-0.703994751,-0.903182983,-0.929290771,1.10788703,-1.324548483,0.200751752
,-0.732589722,-0.938613892,-0.969711304,1.09754622,-1.155927539,0.134096012
,-0.753295898,-0.969177246,-1.00982666,0.978855491,-0.931672573,0.057284061
,-0.768508911,-0.975296021,-0.999862671,0.821971059,-0.778577268,0.004855742
,-0.794387817,-0.978225708,-1.011505127,0.772879183,-0.748766124,-0.029106753
,-0.813217163,-0.969390869,-1.001983643,0.913251221,-0.843215942,-0.086222768
,-0.815002441,-0.934494019,-0.964248657,1.191919088,-0.99292177,-0.174688712
,-0.815322876,-0.886795044,-0.933914185,1.535920858,-1.190215468,-0.28490603
,-0.809127808,-0.874343872,-0.924667358,1.816238523,-1.316841483,-0.41553542
,-0.817703247,-0.885284424,-0.924957275,1.988005519,-1.278284788,-0.553087711
,-0.845230103,-0.888092041,-0.916702271,2.052515984,-1.065092087,-0.723751545
,-0.860565186,-0.871520996,-0.87902832,2.021147966,-0.818011224,-0.922852397
,-0.86958313,-0.842651367,-0.863327026,2.017619133,-0.643756866,-1.131785989
,-0.859329224,-0.79750061,-0.826416016,2.12037921,-0.55623579,-1.318248749
,-0.833862305,-0.751281738,-0.764205933,2.286460876,-0.595995724,-1.450872064
,-0.801422119,-0.728759766,-0.714355469,2.461593866,-0.705869794,-1.52697432
,-0.765258789,-0.726013184,-0.666976929,2.570687771,-0.822962284,-1.609905124
,-0.725418091,-0.708282471,-0.62210083,2.592164278,-0.88243258,-1.712376595
,-0.691146851,-0.676086426,-0.579208374,2.543475151,-0.843027651,-1.796570301
,-0.670425415,-0.656112671,-0.525558472,2.460479975,-0.755013645,-1.854845643
,-0.645217896,-0.647598267,-0.475494385,2.395374537,-0.6655913,-1.898656487
,-0.607025146,-0.631652832,-0.424591064,2.380749702,-0.600376904,-1.937339425
,-0.560195923,-0.617095947,-0.368530273,2.381797791,-0.551853836,-1.942000985
,-0.520477295,-0.609909058,-0.299682617,2.356756449,-0.504851699,-1.895658612
,-0.50630188,-0.593215942,-0.22102356,2.356756449,-0.504851699,-1.895658612
,-0.468429565,-0.564987183,-0.141937256,2.237963676,-0.585485041,-1.799158335
,-0.445297241,-0.536468506,-0.080596924,2.123929739,-0.673637271,-1.700320482
,-0.445037842,-0.510040283,-0.031082153,1.971374869,-0.67455554,-1.60428822
,-0.45072937,-0.493026733,0.020431519,1.971374869,-0.67455554,-1.60428822
,-0.454803467,-0.468887329,0.054519653,1.493767619,-0.463884294,-1.590364099
,-0.450561523,-0.438247681,0.083465576,1.493767619,-0.463884294,-1.590364099
,-0.451766968,-0.412368774,0.11781311,1.013515472,-0.25546506,-1.684159636
,-0.450164795,-0.382858276,0.158859253,1.013515472,-0.25546506,-1.684159636
,-0.436462402,-0.362014771,0.179672241,0.865022123,-0.275039285,-1.694026351
,-0.414520264,-0.359375,0.214889526,0.78235364,-0.359911829,-1.67154026
,-0.394638062,-0.355224609,0.242980957,0.72336942,-0.476016074,-1.622587562
,-0.371551514,-0.345443726,0.268554688,0.62918514,-0.546264112,-1.565366626
,-0.36555481,-0.334854126,0.30796814,0.528804958,-0.521024048,-1.492818952
,-0.357620239,-0.32069397,0.336181641,0.392516643,-0.418056101,-1.425381064
,-0.33052063,-0.301589966,0.334472656,0.20287481,-0.323689133,-1.396887422
,-0.298583984,-0.289962769,0.324111938,-0.03497503,-0.264036179,-1.395758748
,-0.257232666,-0.276123047,0.308441162,-0.309566379,-0.260861158,-1.391984224
,-0.200531006,-0.266189575,0.286453247,-0.553234398,-0.340183139,-1.372449636
,-0.134002686,-0.275421143,0.259216309,-0.735914469,-0.476353228,-1.328909159
,-0.068496704,-0.293411255,0.230422974,-0.820949733,-0.652611077,-1.247881055
,-0.006393433,-0.326782227,0.232955933,-0.800465524,-0.766622901,-1.15198493
,0.058944702,-0.37361145,0.222351074,-0.765623927,-0.794208407,-1.05839324
,0.116363525,-0.406509399,0.198471069,-0.783331275,-0.758121014,-0.968422055
,0.166793823,-0.414199829,0.170898438,-0.869004369,-0.692162752,-0.857198834
,0.211181641,-0.434188843,0.135116577,-0.978037894,-0.653779924,-0.69883877
,0.253463745,-0.471343994,0.10218811,-1.08054781,-0.6423558,-0.494682699
,0.276245117,-0.503845215,0.083969116,-1.156001568,-0.600177407,-0.251364052
,0.28616333,-0.533813477,0.072250366,-1.211830378,-0.52810216,0.005711948
,0.286651611,-0.56602478,0.05291748,-1.273122549,-0.432310671,0.247869194
,0.299087524,-0.605636597,0.040405273,-1.327194333,-0.355697125,0.441957444
,0.298233032,-0.635406494,-0.004135132,-1.43584466,-0.325123221,0.613015175
,0.295776367,-0.683776855,-0.059417725,-1.616217613,-0.309280366,0.760481358
,0.290115356,-0.715606689,-0.099197388,-1.817140579,-0.299535304,0.890187681
,0.284957886,-0.720703125,-0.167602539,-2.030562401,-0.326754957,0.996768475
,0.266159058,-0.735794067,-0.24319458,-2.215385914,-0.33501634,1.096861243
,0.265151978,-0.76008606,-0.308181763,-2.309641838,-0.299065262,1.178643703
,0.284713745,-0.7762146,-0.399169922,-2.334092855,-0.27164641,1.244108438
,0.299972534,-0.791061401,-0.500137329,-2.291499853,-0.267513722,1.319189906
,0.322891235,-0.814651489,-0.61517334,-2.201181889,-0.31308043,1.425186157
,0.316238403,-0.866104126,-0.732589722,-2.069229603,-0.320038736,1.57636416
,0.305160522,-0.901763916,-0.820632935,-1.899302602,-0.187638611,1.700439811
,0.289627075,-0.926467896,-0.906005859,-1.690342188,0.010067548,1.794089079
,0.242935181,-0.979934692,-0.946029663,-1.442205906,0.342503548,1.89768064
,0.18989563,-1.015426636,-0.995117188,-1.262835503,0.726273298,2.012059927
,0.137710571,-1.044235229,-1.041213989,-1.160934806,1.091671228,2.122633934
,0.0756073,-1.075027466,-1.089767456,-1.108963132,1.272625089,2.223672152
,0.000427246,-1.09085083,-1.130004883,-1.006095648,1.248707771,2.281327248
,-0.080810547,-1.069442749,-1.176986694,-0.830116868,1.070614219,2.269011259
,-0.169662476,-1.042755127,-1.213531494,-0.5650599,0.841711521,2.206177711
,-0.265396118,-1.044754028,-1.229049683,-0.217240974,0.659455419,2.139508724
,-0.357635498,-1.075683594,-1.203613281,0.183028147,0.617234707,2.079763174
,-0.439575195,-1.076965332,-1.171630859,0.54847908,0.703295052,1.999750376
,-0.530593872,-1.064163208,-1.128051758,0.822893322,0.898415506,1.921448588
,-0.620605469,-1.050735474,-1.048202515,1.022293806,1.169527411,1.864733934
